Material composition,O p-band center (eV),Predicted Log k* (cm/s),Bandgap (eV),Charge transfer gap (eV),Energy above convex hull (meV/atom),Formation energy (eV/atom)
Pr8Co2Ni6O24,-1.865,-4.4856,0,0,81.59092701,-1.562656425
Pr8Cr1Ni7O24,-1.753,-4.1109,0,0.875,94.65388494,-1.583231667
Pr8Cr2Ni6O24,-1.855,-4.4522,0,0,83.02690466,-1.67855194
Pr8Fe1Ni7O24,-1.796,-4.2548,0,0.636,106.7012467,-1.54904082
Pr8Fe2Ni6O24,-1.811,-4.3049,0,0.756,93.87112816,-1.623420746
Pr8Mg1Ni7O24,-2.426,-6.3626,0,0,0,-2.158396423
Pr8Mg2Ni6O24,-2.281,-5.8775,0,0,0,-2.201619701
Pr8Mg4Ni4O24,-1.739,-4.064,0.835,0.874,0,-2.285130509
Pr8Mn1Ni7O24,-1.729,-4.0306,0,0.359,91.34499746,-1.575413545
Pr8Mn2Ni6O24,-1.758,-4.1276,0,0,60.72512971,-1.678599696
Pr8Mn4Ni4O24,-1.71,-3.967,1.265,1.305,0,-1.886312998
Pr8Ni8O24,-1.683,-3.8767,0,0.877,120.5966152,-1.473595644
Ba2Pr6Sc8O24,-1.195,-2.2439,0,4.061,65.98496318,-2.896167925
Ba4Pr4Sc8O24,-1.186,-2.2138,0,4.064,94.30190586,-2.718243626
Ca2Pr6Sc8O24,-1.128,-2.0198,0,4.243,81.03949818,-2.920140564
Ca4Pr4Sc8O24,-1.117,-1.983,0,4.279,141.3737259,-2.749226155
Pr6Dy2Sc8O24,-1.42,-2.9967,4.055,4.114,36.18162447,-3.102800786
Pr4Dy4Sc8O24,-1.393,-2.9064,4.111,4.17,43.12872844,-3.123075848
Pr6Gd2Sc8O24,-1.461,-3.1339,3.035,3.065,26.49126913,-3.097077557
Pr4Gd4Sc8O24,-1.518,-3.3246,3.064,3.093,26.50926775,-3.108868141
Pr6Ho2Sc8O24,-1.407,-2.9532,4.086,4.145,40.06738694,-3.102547357
Pr4Ho4Sc8O24,-1.396,-2.9164,4.113,4.173,49.58150338,-3.12388774
Pr6Nd2Sc8O24,-1.382,-2.8696,4.02,4.079,24.41361763,-3.091491526
Pr4Nd4Sc8O24,-1.352,-2.7692,4.016,4.076,25.08521475,-3.094964828
Pr6Sm2Sc8O24,-1.381,-2.8662,4.054,4.113,26.74964638,-3.095358136
Pr4Sm4Sc8O24,-1.355,-2.7793,4.08,4.139,28.58352225,-3.103871798
Sr2Pr6Sc8O24,-1.143,-2.0699,0,4.182,63.31725662,-2.918404981
Sr4Pr4Sc8O24,-1.131,-2.0298,0,4.245,102.3957427,-2.749288489
Pr8Sc7Co1O24,-1.761,-4.1377,0.974,1.033,31.16453199,-2.915927261
Pr8Sc6Co2O24,-1.814,-4.315,1.006,1.065,36.35679348,-2.746066547
Pr8Sc4Co4O24,-1.888,-4.5626,0.864,0.923,42.90406645,-2.410182371
Pr8Sc7Cr1O24,-1.74,-4.0674,3.006,3.065,17.67339581,-2.988084143
Pr8Sc6Cr2O24,-1.878,-4.5291,2.896,2.955,10.35277113,-2.889402063
Pr8Sc4Cr4O24,-2.041,-5.0745,2.82,2.879,0,-2.696375652
Pr8Sc7Fe1O24,-1.616,-3.6525,2.548,2.583,25.71300756,-2.957901046
Pr8Sc6Fe2O24,-1.66,-3.7997,2.417,2.487,27.59599463,-2.827871868
Pr8Sc4Fe4O24,-1.726,-4.0206,2.29,2.361,28.72421875,-2.570451263
Pr8Mg1Sc7O24,-1.161,-2.1302,0,4.219,51.75595534,-2.977126649
Pr8Mg2Sc6O24,-1.142,-2.0666,0,4.285,82.29539018,-2.863709574
Pr8Mg4Sc4O24,-1.119,-1.9897,0,4.36,140.5150099,-2.639734674
Pr8Sc7Mn1O24,-2.454,-6.4563,0.619,0.649,33.67375834,-2.960956771
Pr8Sc6Mn2O24,-2.462,-6.4831,0.712,0.743,42.74924617,-2.834751568
Pr8Sc4Mn4O24,-2.351,-6.1117,0.993,1.055,51.95072185,-2.591290663
Pr8Sc7Ni1O24,-1.47,-3.164,0,0,47.24337609,-2.87482087
Pr8Sc6Ni2O24,-1.54,-3.3982,0,2.07,71.67773168,-2.660690516
Pr8Sc4Ni4O24,-1.825,-4.3518,0,0,110.7169429,-2.242259309
Pr8Sc8O24,-1.443,-3.0737,4.005,4.064,23.6410205,-3.088119224
Ba2Pr6Ti8O24,-5.125,-15.3929,0,0,10.17451175,-2.755494882
Ba4Pr4Ti8O24,-4.726,-14.058,0,0,11.5904985,-2.738592833
Ca2Pr6Ti8O24,-5.27,-15.8781,0,0,19.2994335,-2.778831272
Ca4Pr4Ti8O24,-4.985,-14.9245,0,0,21.819592,-2.793286362
Pr6Dy2Ti8O24,-5.389,-16.2762,0,0,66.76133313,-2.748978743
Pr4Dy4Ti8O24,-5.326,-16.0654,0,0,95.22684338,-2.754343805
Pr6Gd2Ti8O24,-5.521,-16.7179,0,0,42.34404359,-2.758431765
Pr4Gd4Ti8O24,-5.488,-16.6075,0,0,55.01006219,-2.765386099
Pr6Ho2Ti8O24,-5.389,-16.2762,0,0,71.18482569,-2.747290314
Pr4Ho4Ti8O24,-5.327,-16.0688,0,0,103.2663285,-2.751774447
Pr6Nd2Ti8O24,-5.517,-16.7045,0,0,44.01037784,-2.749361733
Pr4Nd4Ti8O24,-5.381,-16.2494,0,0,54.82773069,-2.750761036
Pr6Sm2Ti8O24,-5.539,-16.7781,0,0,52.91027828,-2.748225843
Pr4Sm4Ti8O24,-5.329,-16.0755,0,0,70.13978156,-2.750977005
Sr2Pr6Ti8O24,-5.212,-15.684,0,0,0,-2.782040689
Sr4Pr4Ti8O24,-4.887,-14.5966,0,0,0,-2.796493446
Pr8Ti7Co1O24,-5.231,-15.7476,0,0,94.05845519,-2.68828038
Pr8Ti6Co2O24,-4.839,-14.436,0,0.206,137.8819392,-2.624956828
Pr8Ti4Co4O24,-2.7,-7.2794,1.628,1.836,14.00114963,-2.457010725
Pr8Ti7Cr1O24,-5.17,-15.5435,0,0,57.60884947,-2.714388262
Pr8Ti6Cr2O24,-4.853,-14.4829,0,0,95.49667394,-2.667342093
Pr8Ti4Cr4O24,-4.547,-13.4591,0.105,0.175,49.42529029,-2.547046755
Pr8Ti7Fe1O24,-5.253,-15.8212,0,0,85.89085769,-2.697841915
Pr8Ti6Fe2O24,-4.908,-14.6669,0,0,105.4423684,-2.657396399
Pr8Ti4Fe4O24,-2.886,-7.9017,1.674,1.744,19.80860463,-2.518952616
Pr8Mg1Ti7O24,-5.298,-15.9717,0,0,17.71877028,-2.772929268
Pr8Mg2Ti6O24,-4.894,-14.62,0,0,0,-2.806492854
Pr8Mg4Ti4O24,-1.724,-4.0139,2.94,3.009,5.435506125,-2.813690278
Pr8Ti7Mn1O24,-5.248,-15.8045,0,0,68.90928714,-2.70867839
Pr8Ti6Mn2O24,-4.874,-14.5531,0,0,80.68941837,-2.682149349
Pr8Ti4Mn4O24,-2.966,-8.1693,1.571,1.641,35.72806622,-2.569356767
Pr8Ti7Ni1O24,-5.261,-15.848,0,0,125.2153697,-2.659869989
Pr8Ti6Ni2O24,-4.915,-14.6903,0,0,178.1377204,-2.584701047
Pr8Ti4Ni4O24,-2.077,-5.1949,2.637,2.676,23.22818913,-2.368624162
Pr8Ti8O24,-5.553,-16.8249,0,0,32.611025,-2.748544431
Ba2Pr6V8O24,-3.441,-9.7586,0.355,0.395,18.9735033,-2.282407505
Ba4Pr4V8O24,-3.057,-8.4738,0.709,0.748,57.14438148,-2.189203706
Ca2Pr6V8O24,-3.492,-9.9292,0.435,0.474,8.630709047,-2.312405894
Ca4Pr4V8O24,-3.339,-9.4173,0.593,0.673,21.12324531,-2.256039985
Pr6Dy2V8O24,-3.225,-9.0359,1.211,1.25,0,-2.410424616
Pr4Dy4V8O24,-3.158,-8.8117,1.254,1.293,6.890127563,-2.432188678
Pr6Gd2V8O24,-4.617,-13.6933,0,0,0,-2.792259387
Pr4Gd4V8O24,-4.737,-14.0948,0,0,0,-2.802416221
Pr6Ho2V8O24,-3.249,-9.1162,1.134,1.173,0,-2.410437187
Pr4Ho4V8O24,-3.199,-8.9489,1.216,1.255,7.055925313,-2.43422532
Pr6Nd2V8O24,-3.386,-9.5746,1.285,1.324,3.698216094,-2.373869856
Pr4Nd4V8O24,-3.36,-9.4876,1.21,1.249,23.21180706,-2.375510408
Pr6Sm2V8O24,-3.374,-9.5344,1.285,1.324,0,-2.373506716
Pr4Sm4V8O24,-3.329,-9.3839,1.288,1.327,9.364902313,-2.378574878
Sr2Pr6V8O24,-3.466,-9.8422,0.395,0.435,0,-2.311452811
Sr4Pr4V8O24,-3.358,-9.4809,0.395,0.435,0.53176639,-2.249356569
Pr8V7Co1O24,-3.44,-9.7553,0.553,0.593,11.27808202,-2.313318081
Pr8V6Co2O24,-3.374,-9.5344,0.633,0.672,54.06078892,-2.238717607
Pr8V4Co4O24,-2.832,-7.721,1.106,1.145,69.00741775,-2.124383161
Pr8V7Cr1O24,-3.422,-9.695,1.203,1.281,0,-2.362349713
Pr8V6Cr2O24,-3.359,-9.4842,1.167,1.245,0,-2.351029873
Pr8V4Cr4O24,-3.101,-8.621,1.438,1.516,0,-2.329609192
Pr8V7Fe1O24,-3.47,-9.8556,0.854,0.932,0,-2.328584366
Pr8V6Fe2O24,-3.338,-9.414,0.855,0.971,5.206718172,-2.287571678
Pr8V4Fe4O24,-3.208,-8.979,0.636,0.676,26.1974495,-2.201067803
Pr8Mg1V7O24,-4.485,-13.2516,0,0,0,-2.782531969
Pr8Mg2V6O24,-4.126,-12.0505,0,0,0,-2.786324634
Pr8Mg4V4O24,-3.77,-10.8594,0,0.117,0,-2.748326964
Pr8Mn1V7O24,-3.276,-9.2065,0.554,0.594,7.565641782,-2.340342841
Pr8Mn2V6O24,-3.22,-9.0192,0.389,0.428,35.69290844,-2.303710128
Pr8Mn4V4O24,-2.97,-8.1827,0.833,0.912,42.18752247,-2.257193953
Pr8V7Ni1O24,-3.623,-10.3675,0.355,0.355,44.54672265,-2.28004944
Pr8V6Ni2O24,-3.385,-9.5712,0.436,0.476,73.75357017,-2.219024826
Pr8V4Ni4O24,-2.625,-7.0284,1.303,1.343,103.7439688,-2.050066849
Pr8V8O24,-3.414,-9.6683,1.128,1.167,0,-2.384935304
Ba8Fe1Co7O24,-1.517,-3.3213,0,0,133.0303249,-1.193319608
Ba8Fe2Co6O24,-1.459,-3.1272,0,0,120.4137889,-1.235849893
Ba8Mn1Co7O24,-1.481,-3.2008,0,0,129.6015322,-1.216785083
Ba8Mn2Co6O24,-1.426,-3.0168,0,0,142.3339536,-1.254003094
Ba8Co7Ni1O24,-1.446,-3.0837,0,0,159.1177049,-1.112290932
Ba8Co6Ni2O24,-1.416,-2.9834,0,0,191.113049,-1.055268041
Ni4Co4Ba8O24,-1.243,-2.4045,0,0,244.3482372,-0.95197776
Ba8Mn7Co1O24,-1.272,-2.5016,0,0,168.5178267,-1.476970396
Ba8Mn6Co2O24,-1.291,-2.5651,0,0,179.4128893,-1.416725885
Ba8Mn4Co4O24,-1.254,-2.4413,0,0.262,155.6630465,-1.340574864
Ba8Mn7Fe1O24,-1.242,-2.4012,0,0.182,157.2429815,-1.517966181
Mn6Ba8O24Fe2,-1.203,-2.2707,0,0,136.4314437,-1.519457706
Ba8Mn7Ni1O24,-1.231,-2.3644,0,0.201,182.0754208,-1.438385255
Ba8Mn6Ni2O24,-1.222,-2.3343,0,0,185.1978553,-1.356269104
Ba8Ni7Co1O24,-1.253,-2.438,0,0,245.6924389,-0.790246088
Ba8Ni6Co2O24,-1.313,-2.6387,0,0,250.2520383,-0.839148979
Ba8Ni4Co4O24,-1.309,-2.6254,0,0,260.1297372,-0.93619626
Ba8Fe1Ni7O24,-1.211,-2.2975,0,0,217.2528239,-0.834980124
Ba8Fe2Ni6O24,-1.208,-2.2874,0,0,202.2698084,-0.91972005
Ba8Mn1Ni7O24,-1.185,-2.2105,0,0,265.2705921,-0.810370599
Ni6Mn2Ba8O24,-1.221,-2.3309,0,0,209.0198447,-0.9597865
Ba8Mn4Ni4O24,-1.137,-2.0499,0,0.967,215.60485,-1.139531802
Ca8Fe1Co7O24,-2.037,-5.0611,0,0,189.0930845,-1.221868916
Ca8Fe2Co6O24,-2.061,-5.1414,0,0,193.2294563,-1.250110951
Ca8Mn1Co7O24,-1.913,-4.6462,0,0,132.8719224,-1.293015391
Ca8Mn2Co6O24,-1.988,-4.8972,0,0,179.6541322,-1.293536902
Ca8Co7Ni1O24,-2.047,-5.0946,0,0,207.9048067,-1.14565124
Ca8Co6Ni2O24,-1.967,-4.8269,0,0,234.6606508,-1.093867849
Ca8Co4Ni4O24,-1.813,-4.3116,0,0.869,286.026589,-0.992446818
Ca8Mn7Co1O24,-1.854,-4.4488,0,0,183.8286811,-1.525880954
Ca8Mn6Co2O24,-1.935,-4.7198,0,0,165.1182213,-1.497287693
Ca8Mn4Co4O24,-1.902,-4.6094,0,0,168.8673017,-1.398931172
Ca8Mn7Fe1O24,-1.934,-4.7165,0,0,157.9728029,-1.584115239
Ca8Mn6Fe2O24,-1.87,-4.5023,0,0.107,158.037965,-1.569124764
Ca8Mn7Ni1O24,-1.792,-4.2414,0,0.353,186.4002752,-1.498281813
Ca8Mn6Ni2O24,-1.739,-4.064,0,0,213.3146595,-1.399036162
Ni4Ca8Mn4O24,-1.609,-3.6291,0,1.021,275.6561781,-1.19203211
Ca8Ni7Co1O24,-1.811,-4.3049,0,0,378.4533713,-0.824937396
Ca8Ni6Co2O24,-1.848,-4.4287,0,0,361.5797772,-0.866838537
Ca8Ni4Co4O24,-1.83,-4.3685,0,0.791,287.661839,-0.990811568
Ca8Fe1Ni7O24,-1.767,-4.1577,0,0,367.1383674,-0.869899182
Ca8Fe2Ni6O24,-1.802,-4.2748,0,0,342.0400194,-0.953671858
Ca8Mn1Ni7O24,-1.713,-3.9771,0,0,366.5030811,-0.884191407
Ca8Mn2Ni6O24,-1.692,-3.9068,0,0,336.2246968,-0.986801058
Ca8Mn4Ni4O24,-1.611,-3.6358,0,0.982,276.0069281,-1.19168136
Sr8Fe1Co7O24,-1.772,-4.1745,0,0,88.32721153,-1.269296084
Sr8Fe2Co6O24,-1.741,-4.0707,0,0,90.31694834,-1.300463369
Sr8Mn1Co7O24,-1.753,-4.1109,0,0,91.53400436,-1.285677559
Sr8Mn2Co6O24,-1.639,-3.7295,0,0,106.514784,-1.32344207
Sr8Mn4Co4O24,-1.561,-3.4685,0,0.13,99.68134329,-1.43576609
Sr8Co7Ni1O24,-1.685,-3.8834,0,0,116.1809765,-1.182730158
Sr8Co6Ni2O24,-1.597,-3.5889,0,0,134.6731166,-1.135334017
Sr8Co4Ni4O24,-1.48,-3.1975,0,0.93,178.9397849,-1.029910486
Sr8Mn7Co1O24,-1.56,-3.4651,0,0,110.1393178,-1.562464372
Sr8Mn6Co2O24,-1.579,-3.5287,0,0,97.79037938,-1.530747861
Sr8Mn7Fe1O24,-1.538,-3.3915,0,0,114.2722226,-1.588052407
Sr8Mn6Fe2O24,-1.481,-3.2008,0,0,81.57468903,-1.606405432
Sr8Mn7Ni1O24,-1.489,-3.2276,0,0,113.8691619,-1.533706981
Sr8Mn6Ni2O24,-1.423,-3.0068,0,0,142.2958176,-1.43618733
Sr8Mn4Ni4O24,-1.37,-2.8294,0,0.846,187.8758002,-1.242747778
Sr8Ni7Co1O24,-1.485,-3.2142,0,0,252.7671623,-0.864347814
Sr8Ni6Co2O24,-1.532,-3.3715,0,0,241.6649531,-0.906028455
Sr8Ni4Co4O24,-1.477,-3.1874,0,0,181.2952849,-1.027554986
Sr8Fe1Ni7O24,-1.462,-3.1373,0,0,243.428371,-0.90867535
Sr8Fe2O24Ni6,-1.463,-3.1406,0,0,224.6228706,-0.993048026
Sr8Mn1O24Ni7,-1.464,-3.144,0,0,249.7247286,-0.922833575
Sr8Mn2O24Ni6,-1.43,-3.0302,0,0.162,230.1183358,-1.028461726
Ca4Ba4Fe1Co7O24,-1.717,-3.9904,0,0,196.0741586,-1.173814137
La4Ba4Fe1Co7O24,-2.518,-6.6704,0,0,114.4077159,-1.502498422
Pr4Ba4Fe1Co7O24,-2.137,-5.3957,0,0,131.7614622,-1.450185206
Sr4Ba4Fe1Co7O24,-1.605,-3.6157,0,0,129.6077796,-1.214000471
Y4Ba4Fe1Co7O24,-1.918,-4.6629,0,0,153.2465035,-1.480776646
Ca4Ba4Fe2Co6O24,-1.663,-3.8098,0,0,186.0265304,-1.216240172
La4Ba4Fe2Co6O24,-2.442,-6.4161,0,0,114.5071519,-1.538377957
Pr4Ba4Fe2Co6O24,-1.879,-4.5325,0,0,130.3471878,-1.488121741
Sr4Ba4Fe2Co6O24,-1.534,-3.3782,0,0,118.1032664,-1.258662006
Y4Ba4Fe2Co6O24,-1.855,-4.4522,0,0,136.2937671,-1.527974931
Ca4Ba4Mn1Co7O24,-1.695,-3.9168,0,0,189.9522081,-1.197508112
La4Ba4Mn1Co7O24,-2.466,-6.4964,0,0,111.9204708,-1.523179647
Pr4Ba4Mn1Co7O24,-2.078,-5.1983,0,0,124.477908,-1.470896931
Sr4Ba4Mn1Co7O24,-1.563,-3.4752,0,0,126.7008224,-1.236495696
Y4Ba4Mn1Co7O24,-2.229,-5.7035,0,0,244.1489113,-1.409579121
Ca4Ba4Mn2Co6O24,-1.692,-3.9068,0,0,189.8246296,-1.247586123
La4Ba4Mn2Co6O24,-2.351,-6.1117,0,0,114.4981617,-1.574774907
Pr4Ba4Mn2Co6O24,-2.013,-4.9808,0,0,122.7725794,-1.522552692
Sr4Ba4Mn2Co6O24,-1.552,-3.4384,0,0,130.3903521,-1.285551457
Y4Ba4Mn2Co6O24,-1.79,-4.2347,0,0,149.9483327,-1.553730132
Ca4Ba4Mn4Co4O24,-1.539,-3.3949,0,0.258,189.8810042,-1.346228643
La4Ba4Mn4Co4O24,-2.225,-5.6901,0.214,0.275,103.7567545,-1.685417178
Pr4Ba4Mn4Co4O24,-1.779,-4.1979,0.194,0.227,100.2079541,-1.643816212
Ca4Ba4Co7Ni1O24,-1.641,-3.7362,0,0,220.0033808,-1.092478961
La4Ba4Co7Ni1O24,-2.518,-6.6704,0,0,124.314124,-1.431585496
Pr4Ba4Co7Ni1O24,-2.08,-5.205,0,0.12,139.0135807,-1.38138328
Sr4Ba4Co7Ni1O24,-1.507,-3.2878,0,0,155.6946369,-1.129729045
Y4Ba4Co7Ni1O24,-2.157,-5.4626,0,0,259.886084,-1.31886397
Ca4Ba4Co6Ni2O24,-1.628,-3.6927,0,0,235.4092249,-1.05204557
La4Ba4Co6Ni2O24,-2.035,-5.0544,0,0,150.6724681,-1.380199605
Pr4Ba4Co6Ni2O24,-1.681,-3.87,0,0,163.7991748,-1.331570139
Sr4Ba4Co6Ni2O24,-1.462,-3.1373,0,0,170.627481,-1.089768654
Y4Ba4Co6Ni2O24,-1.778,-4.1945,0,0,285.3444281,-1.268378079
Ca4Ba4Co4Ni4O24,-1.541,-3.4016,0,0,292.3906631,-0.945009039
La4Ba4Co4Ni4O24,-1.912,-4.6429,0,0.304,192.2846563,-1.288532324
Pr4Ba4Co4Ni4O24,-1.433,-3.0402,0,0,169.625113,-1.275689108
Sr4Ba4Co4Ni4O24,-1.367,-2.8194,0,0.97,220.161511,-0.982426623
Y4Ba4Co4Ni4O24,-1.591,-3.5689,0,0,218.4426163,-1.285224798
Ca4Ba4Mn7Co1O24,-1.619,-3.6626,0,0.257,196.4091336,-1.481611675
La4Ba4Mn7Co1O24,-2.131,-5.3756,0,0.214,98.1125625,-1.828745709
Pr4Ba4Mn7Co1O24,-1.736,-4.054,0,0,100.8648832,-1.785775494
Sr4Ba4Mn7Co1O24,-1.445,-3.0804,0,0.196,144.7087126,-1.516378259
Y4Ba4Mn7Co1O24,-1.768,-4.1611,0,0,152.280199,-1.782102184
Ca4Ba4Mn6Co2O24,-1.544,-3.4116,0,0,191.8366738,-1.438880414
La4Ba4Mn6Co2O24,-2.271,-5.844,0,0.152,123.2466292,-1.764626199
Pr4Ba4Mn6Co2O24,-1.857,-4.4589,0,0,122.6776568,-1.716423983
Sr4Ba4Mn6Co2O24,-1.367,-2.8194,0,0,141.5352297,-1.474319998
Y4Ba4Mn6Co2O24,-1.856,-4.4555,0,0,144.0065577,-1.746401423
Sr4Ba4Mn4Co4O24,-1.383,-2.8729,0,0.39,133.9547258,-1.382686477
Y4Ba4Mn4Co4O24,-1.62,-3.6659,0,0,140.4059574,-1.661971402
Ca4Ba4Mn7Fe1O24,-1.504,-3.2778,0,0.251,190.0752554,-1.52032396
La4Ba4Mn7Fe1O24,-2.05,-5.1046,0,0,87.04599469,-1.868197495
Pr4Ba4Mn7Fe1O24,-1.644,-3.7462,0,0.252,106.2203588,-1.816942279
Sr4Ba4Mn7Fe1O24,-1.37,-2.8294,0,0.218,129.3426174,-1.561465294
Y4Ba4Mn7Fe1O24,-1.816,-4.3217,0,0.288,212.3025083,-1.752304969
Ca4Ba4Mn6Fe2O24,-1.449,-3.0938,0,0,178.5861675,-1.516887735
La4Ba4Mn6Fe2O24,-2.045,-5.0879,0,0,83.0462436,-1.86159702
Pr4Ba4Mn6Fe2O24,-1.633,-3.7094,0,0,101.768108,-1.810378054
Sr4Ba4Mn6Fe2O24,-1.307,-2.6187,0,0,122.4316702,-1.553269819
Y4Ba4Mn6Fe2O24,-1.831,-4.3719,0,0,205.0929261,-1.745765244
Ca4Ba4Mn7Ni1O24,-1.52,-3.3313,0,0.279,210.3357277,-1.442657534
La4Ba4Mn7Ni1O24,-1.976,-4.857,0,0.229,103.1651528,-1.791071819
Pr4Ba4Mn7Ni1O24,-1.567,-3.4886,0,0.278,121.4289773,-1.740183853
Sr4Ba4Mn7Ni1O24,-1.366,-2.8161,0,0.241,156.1360567,-1.479923368
Y4Ba4Mn7Ni1O24,-1.727,-4.0239,0,0.239,231.4818553,-1.680494293
Ca4Ba4Mn6Ni2O24,-1.471,-3.1674,0,0,231.128112,-1.349533883
La4Ba4Mn6Ni2O24,-1.919,-4.6663,0,0,118.2485598,-1.704381668
Pr4Ba4Mn6Ni2O24,-1.502,-3.2711,0,0,135.390845,-1.653655702
Sr4Ba4Mn6Ni2O24,-1.332,-2.7023,0,0,177.7521679,-1.388047967
Y4Ba4Mn6Ni2O24,-1.61,-3.6324,0,0,251.1966202,-1.594398892
Ca4Ba4Mn4Ni4O24,-1.345,-2.7458,0,1.112,319.1166306,-1.116882831
La4Ba4Mn4Ni4O24,-1.79,-4.2347,0,0.768,154.4196238,-1.524997116
Pr4Ba4Mn4Ni4O24,-1.377,-2.8529,0,0.761,169.5733305,-1.47434065
Y4Ba4Mn4Ni4O24,-1.475,-3.1808,0,0.877,292.5360838,-1.40973109
Ca4Ba4Ni7Co1O24,-1.529,-3.3614,0,0,351.8175019,-0.782064617
La4Ba4Ni7Co1O24,-1.872,-4.509,0,0,236.3380285,-1.143795652
Pr4Ba4Ni7Co1O24,-1.48,-3.1975,0,0,250.5792685,-1.094750186
Sr4Ba4Ni7Co1O24,-1.38,-2.8629,0,0,267.3405799,-0.820628201
Y4Ba4Ni7Co1O24,-1.6,-3.599,0,0,367.1832279,-1.037891876
Ca4Ba4Ni6Co2O24,-1.536,-3.3848,0,0,357.1453513,-0.830199258
La4Ba4Ni6Co2O24,-1.885,-4.5525,0,0,237.0623445,-1.193699543
Pr4Ba4Ni6Co2O24,-1.473,-3.1741,0,0,262.8963012,-1.132362827
Sr4Ba4Ni6Co2O24,-1.433,-3.0402,0,0.161,273.6131793,-0.867818092
Y4Ba4Ni6Co2O24,-1.615,-3.6492,0,0,362.4610545,-1.091151267
Ca4Ba4Ni4Co4O24,-1.547,-3.4217,0,0,294.3104131,-0.943089289
La4Ba4Ni4Co4O24,-1.976,-4.857,0,0,177.3461563,-1.303470824
Pr4Ba4Ni4Co4O24,-1.56,-3.4651,0,0.924,191.512363,-1.253801858
Sr4Ba4Ni4Co4O24,-1.376,-2.8495,0,0,222.246511,-0.980341623
Y4Ba4Ni4Co4O24,-1.63,-3.6994,0,0.923,226.5076163,-1.277159798
Ca4Ba4Fe1Ni7O24,-1.477,-3.1874,0,0,323.8226369,-0.826353903
La4Ba4Fe1Ni7O24,-1.813,-4.3116,0,0.381,206.3641636,-1.190063937
Pr4Ba4Fe1Ni7O24,-1.439,-3.0603,0,0.323,221.0559036,-1.140567972
Sr4Ba4Fe1Ni7O24,-1.331,-2.699,0,0,237.9927149,-0.866270487
Y4Ba4Fe1Ni7O24,-1.538,-3.3915,0,0,340.306363,-1.081063162
Ca4Ba4Fe2Ni6O24,-1.494,-3.2443,0,0,309.8566214,-0.910076829
La4Ba4Fe2Ni6O24,-1.799,-4.2648,0,0,189.6483646,-1.273702363
Pr4Ba4Fe2Ni6O24,-1.414,-2.9767,0,0.242,204.0465713,-1.223801398
Sr4Ba4Fe2Ni6O24,-1.339,-2.7257,0,0.285,223.8166994,-0.950203413
Y4Ba4Fe2Ni6O24,-1.52,-3.3313,0,0,320.5298246,-1.165671338
Ca4Ba4Mn1Ni7O24,-1.479,-3.1941,0,0,340.4376551,-0.833147128
La4Ba4Mn1Ni7O24,-1.858,-4.4622,0,0,213.4936817,-1.206342662
Pr4Ba4Mn1Ni7O24,-1.464,-3.144,0,0,227.8786717,-1.157153447
Sr4Ba4Mn1Ni7O24,-1.344,-2.7425,0,0,255.4789831,-0.872192462
Y4Ba4Mn1Ni7O24,-1.577,-3.522,0,0,349.4533811,-1.095324387
Ca4Ba4Mn2Ni6O24,-1.471,-3.1674,0,0.16,318.3999077,-0.948350029
La4Ba4Mn2Ni6O24,-1.828,-4.3618,0,0,201.3214232,-1.310735314
Pr4Ba4Mn2Ni6O24,-1.398,-2.9231,0,0,232.6998188,-1.244319848
Sr4Ba4Mn2Ni6O24,-1.337,-2.719,0,0.161,233.8102357,-0.987026363
Y4Ba4Mn2Ni6O24,-1.535,-3.3815,0,0.201,337.2143761,-1.199086788
Sr4Ba4Mn4Ni4O24,-1.284,-2.5417,0,0.643,199.0023455,-1.201021165
Ba4Ca4Fe1Co7O24,-1.705,-3.9503,0,0,187.8944086,-1.181993887
La4Ca4Fe1Co7O24,-2.489,-6.5734,0.136,0.17,101.8878918,-1.556091951
Pr4Ca4Fe1Co7O24,-1.922,-4.6763,0.431,0.467,59.85113809,-1.563169235
Sr4Ca4Fe1Co7O24,-1.907,-4.6261,0,0,143.5172055,-1.24116475
Y4Ca4Fe1Co7O24,-1.972,-4.8436,0,0,76.49603762,-1.600733675
Ba4Ca4Fe2Co6O24,-1.701,-3.9369,0,0,205.5640304,-1.196702672
La4Ca4Fe2Co6O24,-2.384,-6.2221,0,0,111.0263278,-1.582932486
Pr4Ca4Fe2Co6O24,-2.136,-5.3923,0,0,129.3191137,-1.53022352
Sr4Ca4Fe2Co6O24,-1.824,-4.3484,0,0,156.1854423,-1.261653535
Y4Ca4Fe2Co6O24,-1.878,-4.5291,0,0,76.97840947,-1.63262971
Ba4Ca4Mn1Co7O24,-1.582,-3.5388,0,0,180.6609581,-1.206799362
La4Ca4Mn1Co7O24,-2.357,-6.1318,0,0,70.43789669,-1.605735926
Pr4Ca4Mn1Co7O24,-2.051,-5.1079,0,0,70.82208722,-1.56339271
Sr4Ca4Mn1Co7O24,-1.667,-3.8231,0,0,130.5589983,-1.273711225
Y4Ca4Mn1Co7O24,-2.12,-5.3388,0,0,82.31637554,-1.60983865
Ba4Ca4Mn2Co6O24,-1.679,-3.8633,0,0,197.1241296,-1.240286623
La4Ca4Mn2Co6O24,-2.314,-5.9879,0,0,110.2090876,-1.620137686
Pr4Ca4Mn2Co6O24,-2.238,-5.7336,0.379,0.443,96.99151193,-1.584939971
