Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
Be1C3Cl3H7,5.305,191.723,-0.059
Be1C3F3H7,5.880,294.222,-0.487
I3Be1C3H7,2.680,201.128,0.109
H7Ca1C3Br3,3.739,191.084,-0.201
H7Ca1C3Cl3,4.741,181.579,-0.276
H7Ca1C3F3,5.303,275.766,-0.649
I3H7Ca1C3,2.663,216.352,-0.104
H7C3Br3Cd1,2.483,178.098,0.035
H7C3Cl3Cd1,3.084,169.448,-0.008
H7C3F3Cd1,3.952,236.422,-0.315
I3H7C3Cd1,1.939,190.368,0.096
H7C3Co1Br3,1.746,157.948,0.144
H7C3Co1Cl3,2.192,140.041,0.081
H7C3Co1F3,0.152,2372.928,1.846
I3H7C3Co1,1.063,181.235,0.181
H7C3Br3Cu1,0.001,212.951,0.194
H7C3Cu1Cl3,0.016,216.402,0.167
H7C3Cu1F3,1.923,660.498,0.232
I3H7C3Cu1,0.003,246.026,0.240
H7C3Fe1Br3,3.025,112.928,0.066
H7C3Fe1Cl3,3.678,137.813,0.027
H7C3Fe1F3,3.743,259.544,-0.342
I3H7C3Fe1,2.242,146.661,0.147
H7Ge1C3Br3,2.325,195.698,0.092
H7Ge1C3Cl3,2.823,188.940,0.031
H7Ge1C3F3,4.097,218.069,-0.335
I3H7Ge1C3,1.739,203.475,0.162
H7Mg1C3Cl3,4.383,176.831,-0.166
H7Mg1C3Cl3,4.383,176.830,-0.166
H7Mg1C3F3,5.206,272.799,-0.567
I3H7Mg1C3,2.675,201.990,0.006
H7C3Mn1Br3,3.182,135.322,0.008
H7C3Mn1Cl3,3.886,119.058,-0.058
H7C3Mn1F3,3.743,262.617,-0.392
I3H7C3Mn1,2.371,161.363,0.096
Ni1C3Br3H7,0.773,2313.151,2.283
Ni1C3Cl3H7,2.371,482.969,0.415
Ni1C3F3H7,3.385,294.667,-0.177
I3Ni1C3H7,0.754,289.649,0.290
H7C3Sn1Br3,2.010,192.752,0.057
H7C3Sn1Cl3,2.486,186.644,0.004
H7C3Sn1F3,3.701,242.698,-0.358
I3H7C3Sn1,1.414,202.926,0.129
Sr1C3Br3H7,3.760,184.895,-0.229
Sr1C3Cl3H7,4.672,177.036,-0.300
Sr1C3F3H7,5.659,253.803,-0.673
I3Sr1C3H7,2.655,206.630,-0.129
H7Zn1C3Br3,3.600,193.198,0.046
